,Player,Team,Age,RA_FGM,RA_FGA,RA_FG%,ITP_FGM,ITP_FGA,ITP_FG%,MR_FGM,MR_FGA,MR_FG%,LC3_FGM,LC3_FGA,LC3_FG%,RC3_FGM,RC3_FGA,RC3_FG%,AB3_FGM,AB3_FGA,AB3_FG%,Year
0,ADIA BARNES,CLE,24,0.2,0.4,50.0,0.7,0.7,100.0,0.0,0.0,0.0,0.0,0.3,0.0,-,-,-,-,-,-,2000
1,ADRIAN WILLIAMS-STRONG,PHO,24,0.6,0.9,64.0,0.1,0.6,25.0,0.3,1.1,29.0,0.0,0.0,0.0,-,-,-,0.0,0.0,0.0,2000
2,ADRIENNE GOODSON,UTA,34,3.6,6.1,58.4,1.6,3.6,44.8,1.4,3.6,38.8,0.0,0.2,0.0,0.3,0.3,100,0.3,1.1,26.9,2000
3,ADRIENNE JOHNSON,ORL,27,0.4,0.6,65.0,0.5,1.3,41.5,2.8,5.5,51.4,0.4,0.9,38.9,0.4,1.1,40.0,1.3,3.9,33.3,2000
4,ALESSANDRA SANTOS DE OLIVE,IND,27,0.3,0.3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,0.0,0.0,0.0,-,-,-,2000
5,ALICIA THOMPSON,IND,24,1.5,2.3,66.2,1.0,2.1,50.0,1.1,2.6,42.5,0.0,0.0,0.0,0.0,0.2,0.0,0.7,1.4,46.2,2000
6,ALISA BURRAS,POR,26,2.6,3.5,73.0,0.3,1.2,25.0,0.2,0.5,36.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000
7,ALLISON FEASTER,LAS,25,0.8,1.0,75.8,0.3,0.8,33.3,0.2,0.8,20.0,0.4,1.1,33.3,0.1,0.6,20.0,0.5,2.2,23.7,2000
8,AMANDA WILSON,PHO,24,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,2000
9,AMAYA VALDEMORO,HOU,24,0.1,0.4,22.2,0.2,0.6,27.3,0.2,0.5,36.4,0.5,1.3,40.0,0.3,1.0,25.0,0.8,2.0,40.0,2000
10,AMY HERRIG,UTA,24,0.4,0.7,61.1,0.4,1.1,40.0,0.6,1.3,48.4,0.0,0.0,0.0,-,-,-,0.0,0.1,0.0,2000
11,ANDREA GARNER,SEA,22,0.5,1.0,46.9,0.5,1.7,25.9,0.2,0.8,25.9,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,50.0,2000
12,ANDREA LLOYD-CURRY,MIN,35,0.7,1.4,52.6,0.1,0.5,14.3,0.3,0.7,40.0,0.0,0.7,0.0,0.0,0.6,0.0,1.0,2.5,40.7,2000
13,ANDREA NAGY,WAS,29,0.5,0.8,66.7,0.1,0.4,20.0,0.1,0.5,25.0,0.2,0.3,75.0,0.1,0.4,25.0,0.5,1.6,32.3,2000
14,ANDREA STINSON,CHA,33,3.2,5.3,60.0,1.0,2.2,45.7,1.3,3.7,35.9,0.3,0.9,36.8,0.3,0.7,50.0,0.9,2.6,35.4,2000
15,ANGELA AYCOCK,MIN,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,-,-,-,-,-,-,0.0,2.0,0.0,2000
16,ANGIE BRAZIEL,CHA,24,0.5,0.7,68.8,0.2,1.0,25.0,0.1,0.6,23.1,0.0,0.0,0.0,-,-,-,0.0,0.0,0.0,2000
17,ANGIE POTTHOFF,MIN,27,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,-,-,-,-,-,-,0.0,0.5,0.0,2000
18,ANN WAUTERS,CLE,20,2.0,3.0,66.7,0.2,1.2,18.4,0.2,0.5,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,2000
19,ANNA DEFORGE,DET,25,0.6,0.9,65.2,0.3,0.8,35.0,0.4,1.0,40.7,0.0,0.3,0.0,0.7,0.8,87.5,0.5,2.2,23.9,2000
20,ASTOU NDIAYE-DIATTA,DET,27,2.1,3.7,57.6,0.8,2.5,34.2,1.9,4.1,47.7,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,16.7,2000
21,BARBARA FARRIS,DET,24,1.1,1.9,55.6,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,2000
22,BECKY HAMMON,NYL,24,1.5,2.1,71.6,0.1,0.5,26.7,0.5,0.9,51.7,0.5,0.9,55.6,0.1,0.7,14.3,1.5,4.2,36.8,2000
23,BETH CUNNINGHAM,WAS,26,0.1,0.4,33.3,0.1,0.3,33.3,0.2,0.8,18.8,0.2,0.8,22.2,0.4,1.4,28.6,0.4,1.6,23.8,2000
24,BETTY LENNOX,MIN,24,1.4,2.8,49.4,1.8,4.2,44.4,1.3,3.4,39.1,0.4,1.4,28.6,0.5,0.9,58.3,1.5,3.8,38.9,2000
25,BEVERLY WILLIAMS,IND,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,2000
26,BRANDY REED,PHO,24,3.2,4.2,76.1,1.2,3.2,37.9,2.3,5.5,40.9,0.1,0.1,100,0.0,0.6,0.0,0.6,1.4,42.1,2000
27,BRIDGET PETTIS,PHO,30,0.8,1.5,51.1,0.1,0.3,25.0,0.4,1.2,36.8,0.2,0.6,27.3,0.2,0.6,33.3,0.6,2.2,26.2,2000
28,CARLA MCGHEE,ORL,33,0.4,0.9,41.4,0.1,0.5,20.0,0.5,1.2,41.7,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.1,0.0,2000
29,CASS BAUER-BILODEAU,CHA,29,0.4,0.9,52.0,0.2,0.6,27.8,0.4,1.0,39.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000
30,CHAMIQUE HOLDSCLAW,WAS,23,2.8,4.4,62.0,2.0,4.3,46.4,2.2,5.6,38.9,0.0,0.4,0.0,0.1,0.3,33.3,0.4,1.3,32.1,2000
31,CHANTEL TREMITIERE,IND,31,0.2,0.6,28.6,0.0,0.2,25.0,0.4,1.0,37.5,0.0,0.1,0.0,0.0,0.0,0.0,0.4,0.9,50.0,2000
32,CHARISSE SAMPSON,SEA,26,0.4,0.8,52.9,0.2,0.3,50.0,0.1,0.1,100.0,0.4,1.2,33.3,0.7,1.2,57.1,0.1,0.6,25.0,2000
33,CHARLOTTE SMITH,CHA,27,0.7,1.6,43.8,0.2,0.5,35.7,0.2,0.7,28.6,0.0,0.2,0.0,0.0,0.5,0.0,1.0,2.9,33.3,2000
34,CHARMIN SMITH,SEA,26,0.1,0.2,33.3,0.1,0.3,50.0,0.0,0.3,0.0,0.1,0.4,25.0,0.4,0.9,42.9,0.4,1.3,28.6,2000
