Name,Team,Games_Played,Minutes,Offensive Rating,Defensive Rating,AST%,Assist/Turnover,Assist Ratio,OREB%,DREB%,REB%,Turnover Ratio,EFG%,TS%,USG%,Total Minutes
ADRIENNE GOODSON,UTA,32,33.4,98.6,100.5,16.4,0.89,13.0,7.3,6.7,7.0,14.7,44.1,49.2,24.5,1068.8
ALLISON FEASTER,LAS,32,12.7,93.1,94.6,15.8,1.14,17.0,7.2,7.4,7.3,14.9,59.7,63.2,17.0,406.4
ANDREA CONGREAVES,ORL,32,25.3,96.1,100.1,7.8,0.69,13.4,5.3,8.4,6.8,19.3,55.0,60.3,12.7,809.6
ANDREA LLOYD-CURRY,MIN,32,28.2,93.1,95.0,20.2,1.47,24.4,4.5,13.4,8.6,16.6,45.0,48.7,15.7,902.4
ANDREA NAGY,WAS,32,29.5,91.4,101.5,28.5,1.76,37.4,1.3,7.5,4.5,21.3,44.3,51.3,12.4,944.0
ANDREA STINSON,CHA,32,32.6,96.6,98.1,18.8,1.39,16.1,3.7,8.5,6.2,11.6,48.8,52.1,23.0,1043.2
ANGIE POTTHOFF,MIN,32,22.2,89.5,90.9,10.4,1.06,16.4,3.9,10.2,6.9,15.5,38.9,41.1,13.3,710.4
BRIDGET PETTIS,PHO,32,16.8,96.7,90.9,16.7,1.55,14.5,5.2,5.9,5.5,9.4,35.5,38.6,22.6,537.6
CARLA BOYD,DET,32,21.6,91.6,91.9,13.9,0.96,17.6,3.8,7.3,5.5,18.3,43.9,45.7,15.8,691.2
CHARLOTTE SMITH,CHA,32,23.4,96.2,95.8,14.4,1.16,18.0,7.5,10.2,8.9,15.5,35.1,40.5,17.9,748.8
DAWN STALEY,CHA,32,33.3,95.9,95.7,32.8,1.97,29.0,1.4,6.1,3.9,14.8,47.0,54.0,20.3,1065.6
DELISHA MILTON-JONES,LAS,32,26.1,100.4,93.4,11.2,0.70,12.6,7.5,14.3,10.9,17.8,53.0,58.1,18.8,835.2
DEBBIE BLACK,UTA,32,31.7,96.6,99.9,26.4,2.40,38.7,3.4,8.5,6.0,16.1,40.2,43.8,11.5,1014.4
GORDANA GRUBIN,LAS,32,22.2,102.5,94.1,22.3,1.70,21.9,2.6,8.0,5.3,12.9,48.9,53.2,20.6,710.4
JANETH ARCAIN,HOU,32,23.0,105.1,88.7,9.4,0.97,14.7,5.0,8.5,6.8,15.1,46.6,51.4,14.4,736.0
JENNIFER GILLOM,PHO,32,34.1,93.2,95.5,11.3,0.62,8.4,4.9,12.9,8.8,13.6,40.4,47.9,25.6,1091.2
KEDRA HOLLAND-CORN,SAC,32,32.3,101.7,91.8,8.6,0.71,10.3,2.3,4.5,3.4,14.5,47.2,51.4,18.8,1033.6
KORIE HLEDE,UTA,32,21.4,92.0,99.5,16.4,0.98,12.8,4.4,9.2,6.6,13.0,45.5,52.0,23.1,684.8
KRISTI HARROWER,PHO,32,20.7,95.7,93.7,28.0,2.13,35.3,1.4,8.7,5.0,16.5,42.3,54.2,12.5,662.4
KRISTIN FOLKL,MIN,32,16.2,92.1,97.0,9.7,1.00,11.3,7.9,16.7,12.0,11.3,48.6,49.9,17.0,518.4
KYM HAMPTON,NYL,32,26.1,92.5,91.4,5.1,0.40,5.5,8.2,16.4,12.2,13.7,44.5,50.0,20.5,835.2
LADY GROOMS,SAC,32,14.0,93.0,91.2,15.8,1.08,21.9,5.4,6.7,6.1,20.2,37.5,49.1,13.7,448.0
LATASHA BYEARS,SAC,32,22.1,101.3,94.5,8.2,0.52,8.6,11.1,14.3,12.6,16.6,53.7,54.8,20.4,707.2
LISA HARRISON,PHO,32,25.5,95.0,91.1,13.7,1.51,19.0,6.3,11.4,8.8,12.5,47.7,50.4,13.6,816.0
LISA LESLIE,LAS,32,28.9,103.2,93.3,11.7,0.60,9.3,8.1,18.9,13.6,15.4,49.7,54.6,26.8,924.8
MARGO DYDEK,UTA,32,23.0,98.3,96.0,16.6,0.65,12.0,5.9,23.4,15.1,18.5,51.1,59.0,26.6,736.0
MARIA STEPANOVA,PHO,32,17.2,95.2,87.8,10.6,0.56,7.9,11.7,18.7,15.3,14.1,48.7,52.6,24.3,550.4
MERY ANDRADE,CLE,32,11.3,87.8,98.2,25.5,1.20,30.0,4.9,10.6,7.7,25.0,44.2,49.7,14.4,361.6
MURRIEL PAGE,WAS,32,28.7,92.7,97.7,6.2,0.57,9.2,8.5,16.5,12.7,16.1,57.4,61.4,14.3,918.4
MWADI MABIKA,LAS,32,29.2,102.9,93.2,21.1,1.95,20.6,4.7,12.4,8.6,10.6,43.3,46.9,20.8,934.4
NIKKI MCCRAY,WAS,32,32.5,92.1,99.4,18.2,0.73,11.0,3.9,5.2,4.6,15.1,47.5,53.4,29.1,1040.0
NYKESHA SALES,ORL,32,32.4,95.6,96.6,18.4,1.32,14.9,4.6,9.8,7.2,11.3,43.1,48.7,23.3,1036.8
POLINA TZEKOVA,HOU,32,24.3,100.8,90.8,7.5,0.62,11.4,8.1,14.0,11.3,18.6,46.0,49.8,15.5,777.6
SANDY BRONDELLO,DET,32,31.3,92.3,97.1,16.3,0.97,13.6,2.9,4.1,3.5,14.0,49.1,54.3,21.1,1001.6
SHANNON JOHNSON,ORL,32,35.8,96.0,95.3,25.2,1.17,21.0,4.2,10.3,7.2,18.1,50.6,55.1,21.9,1145.6
SHARON MANNING,CHA,32,16.2,88.9,93.1,6.8,0.63,9.5,8.2,17.3,12.7,15.1,50.9,52.2,15.5,518.4
SHERI SAM,ORL,32,34.1,96.5,96.4,13.9,1.20,14.8,3.9,10.9,7.4,12.3,44.8,47.9,19.3,1091.2
SHERYL SWOOPES,HOU,32,34.4,104.1,89.3,25.5,1.53,16.9,5.0,14.2,9.9,11.0,49.6,53.9,27.7,1100.8
SONJA HENNING,HOU,32,24.9,100.5,90.3,16.1,2.55,32.5,3.1,7.2,5.2,12.7,50.0,51.2,9.4,796.8
SONJA TATE,MIN,32,25.8,94.4,94.8,23.4,1.54,30.7,6.2,11.4,8.7,19.9,40.8,44.6,13.7,825.6
SOPHIA WITHERSPOON,NYL,32,17.9,94.6,91.8,14.4,0.81,10.8,3.9,5.3,4.6,13.4,46.2,49.9,27.3,572.8
TAJ MCWILLIAMS-FRANKLIN,ORL,32,32.6,95.0,94.4,10.4,0.64,9.9,8.5,16.8,12.6,15.6,51.1,55.1,21.0,1043.2
TAMECKA DIXON,LAS,32,17.4,97.5,100.6,17.6,1.36,16.6,3.1,8.7,5.9,12.2,42.1,47.4,21.4,556.8
TARI PHILLIPS,ORL,32,10.5,91.8,89.9,6.0,0.19,4.3,8.7,13.2,11.0,22.9,40.6,42.8,27.9,336.0
TERESA WEATHERSPOON,NYL,32,32.9,95.8,91.5,34.8,2.56,40.7,2.0,9.2,5.5,15.9,49.5,52.7,13.6,1052.8
TICHA PENICHEIRO,SAC,32,35.1,98.4,93.2,33.3,1.67,35.2,2.5,12.0,7.1,21.0,33.3,42.0,16.3,1123.2
TINA THOMPSON,HOU,32,33.5,106.0,89.3,4.9,0.39,5.9,7.3,13.0,10.4,15.2,47.6,51.8,20.4,1072.0
TONYA EDWARDS,MIN,32,32.3,90.2,95.8,20.5,1.24,12.7,1.5,11.2,6.0,10.3,42.9,47.0,28.2,1033.6
VICKY BULLETT,CHA,32,31.5,95.5,94.5,10.4,0.83,11.2,7.2,16.9,12.3,13.4,50.3,55.1,19.7,1008.0
ALISA BURRAS,CLE,31,17.6,87.0,100.3,7.3,0.49,6.6,8.1,15.7,12.1,13.5,54.8,55.6,21.2,545.6
ASTOU NDIAYE-DIATTA,DET,31,14.2,91.4,95.3,8.3,0.53,7.5,5.8,17.5,11.6,14.1,43.8,46.3,21.5,440.2
CHAMIQUE HOLDSCLAW,WAS,31,34.3,92.7,96.8,16.9,0.69,10.3,7.9,16.3,12.4,15.1,44.3,49.7,28.6,1063.3
CHASITY MELVIN,CLE,31,22.0,89.9,95.1,11.4,0.93,11.4,7.8,11.6,9.7,12.3,44.2,49.7,20.4,682.0
CRYSTAL ROBINSON,NYL,31,28.1,97.3,89.9,10.9,1.05,11.9,4.5,6.9,5.7,11.3,59.0,62.2,18.9,871.1
CYNTHIA COOPER,HOU,31,35.5,106.3,89.8,31.3,1.56,19.8,1.8,6.3,4.3,12.7,52.6,61.4,29.3,1100.5
LA'KESHIA FRETT,LAS,31,21.3,102.7,92.2,16.5,2.46,23.9,7.9,7.2,7.5,9.7,47.8,52.2,14.2,660.3000000000001
LATONYA JOHNSON,UTA,31,23.1,93.3,99.3,13.0,1.25,16.7,2.2,5.8,4.0,13.4,43.1,49.1,15.9,716.1
MARKITA ALDRIDGE,WAS,31,12.2,84.5,92.4,18.4,0.80,18.0,3.4,7.0,5.2,22.4,32.4,37.3,19.0,378.2
MERLAKIA JONES,CLE,31,26.2,88.0,96.8,13.6,0.74,10.8,5.6,9.5,7.6,14.5,44.1,48.0,23.4,812.1999999999999
