Name,Team,Games_Played,Minutes,Offensive Rating,Defensive Rating,AST%,Assist/Turnover,Assist Ratio,OREB%,DREB%,REB%,Turnover Ratio,EFG%,TS%,USG%,Total Minutes
ANDREA STINSON,CHA,30,34.9,95.8,91.3,25.1,1.74,19.9,2.9,10.7,6.8,11.5,45.3,49.1,23.2,1047.0
BRIDGET PETTIS,PHO,30,28.3,99.9,89.3,13.8,1.00,13.4,4.2,9.3,6.6,13.4,43.5,49.8,21.2,849.0
CARLA BOYD,DET,30,27.3,95.0,90.2,14.9,1.31,16.4,6.3,8.1,7.2,12.5,37.9,41.7,18.9,819.0
CINDY BROWN,DET,30,32.3,95.1,90.3,10.5,0.79,12.1,7.6,23.6,15.8,15.3,50.7,55.5,18.3,968.9999999999999
CYNTHIA COOPER,HOU,30,35.0,105.8,86.8,26.7,1.38,16.5,2.7,8.8,5.8,12.0,51.6,60.4,30.1,1050.0
DENA HEAD,UTA,30,15.5,89.7,102.4,13.7,0.84,20.4,3.3,8.7,6.0,24.3,50.0,54.3,14.0,465.0
EVA NEMCOVA,CLE,30,32.4,97.5,91.4,13.0,1.05,15.1,3.6,8.9,6.5,14.4,51.6,56.8,18.4,972.0
JANETH ARCAIN,HOU,30,21.9,100.4,83.2,7.8,0.68,9.3,7.2,10.7,9.0,13.6,43.8,47.7,18.1,657.0
JANICE BRAXTON,CLE,30,27.9,96.3,90.6,16.3,1.10,18.3,5.5,16.3,11.4,16.6,50.0,56.1,18.6,837.0
JENNIFER GILLOM,PHO,30,32.1,97.6,88.4,10.5,0.47,5.9,6.6,18.5,12.2,12.5,49.6,54.1,31.5,963.0
KATRINA COLLETON,LAS,30,19.2,89.0,93.2,13.6,1.62,25.5,4.4,4.5,4.5,15.8,32.8,37.4,10.5,576.0
KIM PERROT,HOU,30,32.9,103.8,87.3,25.2,1.73,30.0,1.9,8.2,5.0,17.3,47.0,51.0,15.9,987.0
KIM WILLIAMS,UTA,30,18.0,89.1,94.5,17.8,0.70,12.8,4.7,6.1,5.5,18.4,42.8,46.4,25.6,540.0
KISHA FORD,NYL,30,15.7,88.3,87.1,10.6,1.44,11.7,5.3,3.4,4.4,8.2,44.2,47.2,17.0,471.0
KRISTI HARROWER,PHO,30,11.8,94.9,87.6,24.6,1.68,34.9,0.6,5.9,3.2,20.8,47.1,54.4,12.0,354.0
KYM HAMPTON,NYL,30,24.8,91.5,87.4,7.1,0.42,7.3,7.7,19.3,13.4,17.4,45.2,51.7,20.5,744.0
MARGO DYDEK,UTA,30,28.0,93.3,96.5,13.2,0.49,10.2,5.4,21.7,14.0,20.8,48.3,53.8,25.2,840.0
MERLAKIA JONES,CLE,30,22.7,96.5,88.9,11.3,0.75,10.8,5.1,9.8,7.7,14.4,47.9,52.8,22.0,681.0
MICHELE TIMMS,PHO,30,31.2,95.8,89.1,30.2,2.29,33.5,2.0,6.8,4.3,14.6,38.8,42.3,15.2,936.0
MICHELLE BROGAN,PHO,30,25.9,94.7,87.6,10.5,0.79,12.7,5.8,12.8,9.1,16.1,53.5,60.5,16.2,777.0
MONICA LAMB,HOU,30,21.6,105.5,83.7,2.3,0.33,5.1,10.7,13.3,12.0,15.3,54.1,57.3,12.1,648.0
OCTAVIA BLUE,LAS,30,11.0,88.9,95.1,5.6,0.37,8.0,6.2,9.0,7.6,21.6,37.7,41.7,15.4,330.0
PAM MCGEE,LAS,30,19.0,92.6,94.7,4.2,0.24,4.6,10.5,14.3,12.4,19.1,43.7,47.5,20.2,570.0
PENNY TOLER,LAS,30,31.5,92.5,94.7,29.5,1.42,22.8,3.9,7.3,5.6,16.1,45.1,48.5,22.6,945.0
RACHAEL SPORN,DET,30,17.8,89.1,92.8,14.2,1.12,16.3,9.4,10.4,9.9,14.6,40.8,42.2,16.3,534.0
RAZIJA BRCANINOVIC,DET,30,23.2,94.3,88.4,8.3,0.45,8.6,7.9,14.6,11.2,19.0,52.0,55.8,20.1,696.0
REBECCA LOBO,NYL,30,29.1,94.9,85.4,10.0,0.66,10.1,8.7,17.4,13.0,15.4,50.5,54.4,20.5,873.0
RUSHIA BROWN,CLE,30,17.4,92.8,90.1,10.7,0.57,10.9,7.8,11.6,9.8,19.1,46.0,55.0,20.3,522.0
