,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Name,Team,Games_Played,Minutes,Offensive Rating,Defensive Rating,AST%,Assist/Turnover,Assist Ratio,OREB%,DREB%,REB%,Turnover Ratio,EFG%,TS%,USG%,Total Minutes,Year
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A'JA WILSON,LVA,36,30.0,112.5,98.5,11.6,1.23,10.2,6.4,24.2,15.7,8.3,53.1,58.5,26.7,1080.0,2022
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,AARI MCDONALD,ATL,36,24.3,94.9,95.2,19.2,1.21,17.6,1.6,7.4,4.5,14.6,48.6,54.8,20.9,874.8000000000001,2022
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,ALYSSA THOMAS,CON,36,32.1,106.7,95.6,29.5,2.12,28.6,6.5,19.7,13.1,13.5,50.0,54.9,19.9,1155.6,2022
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,ARIEL ATKINS,WAS,36,30.0,103.1,96.4,13.4,1.63,13.5,3.3,8.0,5.7,8.3,50.0,54.3,21.9,1080.0,2022
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,BRIANN JANUARY,SEA,36,16.9,93.6,97.5,22.7,1.6,31.5,1.1,4.6,2.9,19.6,47.1,50.7,13.4,608.4,2022
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,BRIDGET CARLETON,MIN,36,16.8,101.5,97.1,9.8,1.74,19.0,2.0,10.4,6.3,11.0,50.7,53.3,12.0,604.8000000000001,2022
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,BRIONNA JONES,CON,36,25.1,107.1,95.8,8.2,0.81,8.9,11.0,10.6,10.8,11.0,56.9,63.3,20.5,903.6,2022
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,CHEYENNE PARKER-TYUS,ATL,36,26.2,96.0,101.5,13.9,0.99,13.4,6.1,17.9,11.8,13.6,51.7,55.1,21.0,943.2,2022
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,DESTANNI HENDERSON,IND,36,16.4,90.8,109.9,27.6,1.48,26.3,4.1,5.4,4.7,17.7,47.5,50.0,17.4,590.4,2022
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,DIJONAI CARRINGTON,CON,36,17.5,102.3,94.1,9.6,0.64,11.3,6.1,12.5,9.2,17.6,46.1,51.6,19.4,630.0,2022
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,EMMA MEESSEMAN,CHI,36,28.6,109.1,99.0,20.4,2.69,25.0,6.8,13.1,10.1,9.3,59.0,61.7,17.7,1029.6,2022
