Name,Team,Games_Played,Minutes,Offensive Rating,Defensive Rating,AST%,Assist/Turnover,Assist Ratio,OREB%,DREB%,REB%,Turnover Ratio,EFG%,TS%,USG%,Total Minutes
ANGEL MCCOUGHTRY,ATL,34,21.6,101.4,97.1,16.4,0.99,13.2,4.6,9.6,7.0,13.4,49.9,55.0,25.6,734.4000000000001
ASHLEY BATTLE,NYL,34,16.1,88.4,92.7,14.4,0.77,15.3,3.2,12.5,7.9,19.8,49.0,52.6,18.1,547.4000000000001
CAMILLE SMITH,SEA,34,30.7,97.9,94.2,6.4,0.52,8.3,7.7,15.2,11.4,15.9,48.5,53.5,16.9,1043.8
CANDICE DUPREE,CHI,34,34.9,97.8,103.0,12.3,0.93,10.9,6.7,16.7,11.7,11.8,45.4,50.1,23.4,1186.6
CANDICE WIGGINS,MIN,34,29.9,101.5,102.1,15.0,1.09,14.8,3.0,7.3,5.1,13.6,43.3,52.3,21.7,1016.5999999999999
CAPPIE PONDEXTER,PHO,34,31.3,110.6,103.4,25.4,1.98,20.6,3.0,9.1,6.3,10.4,50.1,55.9,25.6,1064.2
CATHRINE KRAAYEVELD,NYL,34,26.1,96.4,94.1,6.6,0.48,8.3,3.7,14.6,9.1,17.1,51.1,53.8,18.1,887.4000000000001
CHARDE HOUSTON,MIN,34,23.3,98.6,104.6,15.3,0.92,10.8,5.7,19.4,12.3,11.7,49.6,53.0,26.6,792.2
CHASITY MELVIN,WAS,34,22.2,90.8,93.7,8.5,0.72,12.0,10.0,10.8,10.4,16.7,44.7,46.8,14.8,754.8
COCO MILLER,ATL,34,12.0,90.8,101.3,13.4,1.06,16.7,4.7,7.6,6.1,15.7,44.3,49.1,16.3,408.0
CRYSTAL KELLY,DET,34,10.8,92.6,96.6,6.0,0.36,7.6,7.3,7.8,7.5,20.9,41.8,57.6,17.0,367.20000000000005
CRYSTAL LANGHORNE,WAS,34,29.8,95.4,95.9,5.3,0.38,6.6,9.9,16.8,13.3,17.3,57.4,60.6,17.1,1013.2
DEMYA WALKER,CON,34,24.1,94.7,100.1,14.6,0.71,14.8,7.0,13.4,10.2,21.0,47.6,51.6,19.7,819.4000000000001
DEWANNA BONNER,PHO,34,21.2,103.9,100.6,3.1,0.38,3.3,9.5,14.3,12.1,8.6,45.8,55.0,21.7,720.8
DOMINIQUE CANTY,CHI,34,22.8,95.4,97.4,24.5,1.91,26.4,2.5,6.0,4.3,13.8,39.2,47.5,18.1,775.2
EBONY HOFFMAN,IND,34,29.4,96.5,91.6,9.8,0.62,10.6,5.6,15.2,10.2,17.1,42.8,48.6,18.9,999.5999999999999
ERIKA DE SOUZA,ATL,34,27.3,99.3,94.1,6.6,0.54,8.1,12.3,19.4,15.9,14.9,52.8,55.3,18.9,928.2
ERIN PERPEROGLOU,SAN,34,17.0,91.2,99.0,9.3,0.89,17.5,4.0,9.4,6.7,19.8,35.9,41.5,11.5,578.0
ERIN THORN,CHI,34,17.0,98.7,102.6,16.5,1.71,19.9,2.3,6.5,4.5,11.6,53.2,57.2,16.4,578.0
ESSENCE CARSON,NYL,34,25.3,95.3,94.7,10.4,0.85,10.4,2.9,6.0,4.4,12.2,46.1,49.7,21.2,860.2
HAMCHETOU MAIGA-BA,SAC,34,19.9,99.5,97.8,10.3,0.71,9.8,5.3,8.8,7.0,13.7,48.6,52.4,21.6,676.5999999999999
HELEN DARLING,SAN,34,18.9,96.0,97.0,24.8,2.50,36.5,2.4,7.4,5.0,14.6,30.7,39.0,12.4,642.5999999999999
IZIANE CASTRO MARQUES,ATL,34,26.9,99.5,91.8,12.1,0.81,10.6,2.1,5.4,3.8,13.1,46.9,50.3,25.3,914.5999999999999
JANELL BURSE,SEA,34,15.9,93.4,92.3,3.6,0.29,4.4,6.6,15.1,11.0,15.5,51.0,57.4,18.2,540.6
JIA PERKINS,CHI,34,27.4,99.7,102.1,20.2,1.82,17.0,3.2,10.1,6.6,9.3,45.6,51.9,23.9,931.5999999999999
KELLY MILLER,MIN,34,19.9,98.5,102.0,15.7,1.34,24.2,2.7,8.7,5.6,18.1,43.6,47.3,13.4,676.5999999999999
KIA VAUGHN,NYL,34,11.6,88.4,94.6,4.4,0.25,4.0,9.0,14.7,11.7,15.8,49.3,50.0,21.8,394.4
KIESHA BROWN,CON,34,11.5,93.1,94.3,17.0,1.31,19.1,2.1,12.0,6.8,14.6,45.5,49.0,17.4,391.0
LE'COE WILLINGHAM,PHO,34,20.8,110.2,101.7,7.2,0.78,9.5,9.2,10.0,9.6,12.3,53.7,58.9,19.8,707.2
LEILANI MITCHELL,NYL,34,12.8,94.5,91.5,29.6,2.92,37.1,1.9,7.4,4.8,12.7,37.0,39.0,13.5,435.20000000000005
LINDSAY WHALEN,CON,34,29.4,97.3,96.1,27.8,2.48,26.0,3.7,11.9,7.6,10.5,46.3,54.4,19.3,999.5999999999999
LINDSEY HARDING,WAS,34,35.1,96.3,95.6,23.0,1.52,22.6,2.0,9.5,5.7,14.8,46.1,50.9,18.7,1193.4
LOREE MOORE,NYL,34,27.7,93.7,96.3,25.0,1.71,28.5,2.1,12.2,7.0,16.7,39.1,42.3,16.0,941.8
MATEE AJAVON,WAS,34,17.3,93.1,93.4,11.9,0.74,9.5,4.4,6.5,5.4,12.8,39.1,45.1,24.7,588.2
MICHELLE SNOW,ATL,34,14.8,96.3,99.1,5.6,0.44,7.5,8.1,20.8,14.5,17.1,47.9,54.6,17.3,503.20000000000005
MONIQUE CURRIE,WAS,34,21.4,91.9,97.0,14.8,1.07,15.5,5.2,15.9,10.4,14.5,40.6,50.9,19.0,727.5999999999999
NAKIA SANFORD,WAS,34,19.5,93.0,91.9,6.0,0.30,7.2,8.2,14.7,11.3,23.9,47.0,51.0,17.8,663.0
NICOLE POWELL,SAC,34,30.5,97.6,101.1,14.8,0.92,11.3,5.0,15.4,10.0,12.4,49.7,54.7,24.9,1037.0
NOELLE QUINN,LAS,34,27.3,99.7,95.1,21.1,2.31,27.5,3.6,9.5,6.6,11.9,52.0,54.6,14.6,928.2
QUANITRA HOLLINGSWORTH,MIN,34,12.8,94.4,104.8,2.2,0.15,2.5,10.2,15.7,12.7,16.9,41.7,51.2,18.9,435.20000000000005
RASHANDA MCCANTS,MIN,34,14.2,93.8,102.1,10.1,0.72,11.3,5.8,8.8,7.2,15.7,41.0,43.4,17.7,482.79999999999995
RENEE MONTGOMERY,MIN,34,22.5,97.3,100.8,18.0,1.09,17.3,2.0,7.0,4.4,15.9,49.2,54.2,19.4,765.0
SANCHO LYTTLE,ATL,34,27.4,103.9,95.2,8.6,0.80,9.8,7.6,18.7,13.2,12.2,50.7,54.4,20.9,931.5999999999999
SCHOLANDA DORRELL,DET,34,18.6,88.5,98.5,8.0,0.50,8.6,3.0,5.5,4.3,17.2,43.0,48.6,19.4,632.4000000000001
SHALEE LEHNING,ATL,34,20.8,99.6,95.8,23.7,2.35,43.9,2.7,8.3,5.5,18.7,41.9,47.8,9.3,707.2
SHANNON JOHNSON,SEA,34,18.2,88.6,94.5,16.0,1.00,21.9,2.5,8.3,5.4,21.9,42.1,52.2,13.7,618.8
SHAVONTE ZELLOUS,DET,34,23.6,97.8,96.9,13.8,0.81,11.9,3.3,10.1,6.8,14.8,42.3,53.9,24.7,802.4000000000001
SHYRA ELY-GASH,CHI,34,14.6,96.5,101.5,7.8,0.56,7.2,4.4,14.1,9.1,12.9,47.5,51.9,22.9,496.4
TAJ MCWILLIAMS-FRANKLIN,DET,34,30.4,99.2,96.8,16.2,1.48,20.5,6.4,15.8,11.1,13.8,49.6,53.0,16.3,1033.6
TAMIKA CATCHINGS,IND,34,31.6,98.0,90.2,19.1,1.20,15.3,8.0,16.0,11.8,12.8,43.2,52.4,23.4,1074.4
