Name,Team,Games_Played,Minutes,Offensive Rating,Defensive Rating,AST%,Assist/Turnover,Assist Ratio,OREB%,DREB%,REB%,Turnover Ratio,EFG%,TS%,USG%,Total Minutes
ANDREA CONGREAVES,CHA,28,23.6,93.5,89.7,11.5,1.32,18.5,6.7,14.8,10.9,14.0,57.1,62.1,12.9,660.8000000000001
ANDREA STINSON,CHA,28,36.1,92.6,90.1,25.9,1.25,18.8,5.3,10.9,8.2,15.0,47.9,50.4,24.8,1010.8000000000001
BRIDGET PETTIS,PHO,28,29.7,92.1,85.3,19.8,0.94,14.7,4.2,9.0,6.5,15.6,39.9,48.0,23.7,831.6
BRIDGETTE GORDON,SAC,28,34.1,88.8,98.3,16.1,0.94,14.9,7.3,7.5,7.4,15.9,44.9,50.8,19.8,954.8000000000001
CHANTEL TREMITIERE,SAC,28,37.6,90.8,99.6,21.5,1.07,26.2,3.3,9.7,6.5,24.6,38.0,45.6,15.3,1052.8
CYNTHIA COOPER,HOU,28,35.0,98.9,89.0,30.7,1.19,17.8,3.7,8.9,6.2,14.9,55.2,62.8,28.4,980.0
DAEDRA CHARLES,LAS,28,10.5,88.3,88.0,6.9,0.73,10.9,5.7,10.3,8.1,14.9,39.7,43.7,14.2,294.0
ELENA BARANOVA,UTA,28,32.6,85.1,96.1,15.0,0.76,12.3,5.7,16.4,10.9,16.2,45.0,47.6,21.2,912.8000000000001
EVA NEMCOVA,CLE,28,33.7,91.3,91.1,14.4,0.86,14.2,2.8,9.5,6.4,16.5,53.6,58.4,19.8,943.6000000000001
HAIXIA ZHENG,LAS,28,20.2,100.1,94.3,5.9,0.40,7.1,6.4,14.4,10.7,17.6,64.2,64.9,19.8,565.6
ISABELLE FIJALKOWSKI,CLE,28,28.7,93.8,88.6,16.8,0.93,15.7,9.0,12.5,10.9,16.9,51.0,57.0,20.8,803.6
JAMILA WIDEMAN,LAS,28,21.2,87.6,90.3,26.4,1.98,37.3,2.3,6.3,4.3,18.8,26.5,35.0,11.8,593.6
JANETH ARCAIN,HOU,28,27.3,94.4,87.8,12.4,0.71,11.7,5.4,10.5,7.9,16.4,45.4,52.2,20.0,764.4
JENNIFER GILLOM,PHO,28,30.7,89.8,85.3,6.1,0.36,4.2,4.9,13.1,8.8,11.5,46.5,51.7,25.0,859.6
